county	ratio
20207	1.0090
46115	1.0088
6091	1.0087
29061	1.0087
48483	1.0087
27055	1.0084
31109	1.0084
31179	1.0083
50017	1.0083
32005	1.0082
49035	1.0082
19121	1.0081
29141	1.0081
42115	1.0081
46029	1.0081
13179	1.0079
53061	1.0079
18051	1.0078
40113	1.0078
42131	1.0078
16021	1.0077
17105	1.0077
31033	1.0077
35051	1.0076
46061	1.0076
48493	1.0076
20085	1.0075
54081	1.0075
28069	1.0074
31059	1.0074
8009	1.0073
21223	1.0073
46101	1.0073
48317	1.0073
26165	1.0070
29153	1.0070
46123	1.0070
48105	1.0070
41065	1.0069
48357	1.0069
27157	1.0068
55003	1.0067
18037	1.0065
19083	1.0064
20039	1.0064
30033	1.0064
19141	1.0063
31177	1.0063
38103	1.0063
40047	1.0062
40079	1.0062
9011	1.0061
20159	1.0061
21031	1.0061
55033	1.0061
55085	1.0061
29067	1.0059
16071	1.0058
21027	1.0058
29125	1.0058
31153	1.0058
36071	1.0058
56003	1.0058
46125	1.0057
20191	1.0056
40105	1.0056
18113	1.0055
29017	1.0055
46129	1.0055
48323	1.0055
20129	1.0054
27023	1.0054
29147	1.0054
31039	1.0054
51735	1.0054
19171	1.0052
56033	1.0052
8021	1.0051
29015	1.0051
21075	1.0050
21183	1.0050
29089	1.0050
35061	1.0049
40085	1.0049
5129	1.0048
8031	1.0048
27033	1.0047
36075	1.0047
51155	1.0047
17181	1.0045
36017	1.0045
46081	1.0045
51013	1.0045
53005	1.0045
53007	1.0045
26143	1.0044
30085	1.0044
31137	1.0044
16007	1.0043
20127	1.0043
17079	1.0042
17017	1.0041
20041	1.0041
20105	1.0041
20139	1.0041
26093	1.0041
18119	1.0040
19095	1.0040
29139	1.0040
31127	1.0040
41003	1.0040
28131	1.0039
48497	1.0039
50019	1.0039
6027	1.0037
38031	1.0037
27137	1.0036
30053	1.0036
41009	1.0036
46071	1.0036
5149	1.0035
17085	1.0035
27101	1.0034
55031	1.0033
36095	1.0032
21023	1.0031
21153	1.0031
54013	1.0031
53041	1.0030
5087	1.0029
38015	1.0029
6069	1.0028
16001	1.0028
38085	1.0028
13145	1.0026
20199	1.0026
46049	1.0026
5133	1.0025
8125	1.0022
19139	1.0022
39127	1.0022
42123	1.0022
48037	1.0022
18079	1.0021
8063	1.0020
18095	1.0020
21081	1.0020
48081	1.0018
39075	1.0017
17189	1.0016
19035	1.0016
26149	1.0016
40001	1.0016
41071	1.0016
29103	1.0015
37023	1.0015
18061	1.0014
1037	1.0013
27003	1.0013
49037	1.0013
42063	1.0012
19097	1.0011
31071	1.0010
46073	1.0010
48151	1.0010
49005	1.0010
9013	1.0009
16075	1.0009
27107	1.0009
30063	1.0009
31019	1.0009
40051	1.0009
26035	1.0006
31089	1.0006
39137	1.0006
50015	1.0006
13149	1.0005
18071	1.0005
46045	1.0005
24037	1.0004
29113	1.0004
36021	1.0004
39011	1.0004
39019	1.0004
4017	1.0003
17097	1.0002
27041	1.0002
27071	1.0002
41035	1.0002
48193	1.0002
6033	1.0001
17149	1.0001
55109	1.0001
6083	1.0000
18085	0.9999
39117	0.9999
8105	0.9998
37075	0.9998
51147	0.9998
51153	0.9998
55127	0.9998
5143	0.9997
17007	0.9997
41027	0.9997
46035	0.9997
48251	0.9997
23021	0.9996
29005	0.9996
42023	0.9996
48333	0.9996
55005	0.9996
55087	0.9996
1083	0.9995
17203	0.9995
27085	0.9995
13123	0.9994
18129	0.9993
55055	0.9993
55071	0.9993
18063	0.9992
39147	0.9992
46089	0.9992
6107	0.9991
18055	0.9991
21025	0.9991
27009	0.9991
18075	0.9990
20181	0.9990
27039	0.9990
39059	0.9990
29073	0.9989
27011	0.9988
29049	0.9987
16067	0.9986
26005	0.9986
27149	0.9986
18001	0.9985
18017	0.9985
19011	0.9984
20099	0.9984
47161	0.9984
53077	0.9984
8035	0.9983
19077	0.9983
21131	0.9982
18117	0.9980
35053	0.9980
40067	0.9980
16017	0.9979
40061	0.9979
46087	0.9979
48077	0.9979
19003	0.9978
48379	0.9978
8059	0.9977
29131	0.9977
49021	0.9977
50001	0.9977
8003	0.9974
19125	0.9974
27007	0.9974
27031	0.9974
40097	0.9974
16019	0.9973
27083	0.9973
29219	0.9973
30005	0.9973
37029	0.9972
51047	0.9972
31067	0.9971
19089	0.9969
21187	0.9969
29177	0.9969
37167	0.9969
27127	0.9968
30011	0.9968
40029	0.9967
50005	0.9967
17049	0.9966
31099	0.9966
31143	0.9966
39021	0.9966
46043	0.9966
26031	0.9965
28105	0.9965
31057	0.9965
6019	0.9964
18165	0.9964
29195	0.9964
53065	0.9964
18149	0.9963
20037	0.9963
53053	0.9961
20187	0.9960
26151	0.9960
27047	0.9960
36079	0.9960
46015	0.9959
47085	0.9959
48353	0.9959
18049	0.9958
38079	0.9958
20109	0.9957
26019	0.9957
31087	0.9957
17073	0.9956
18175	0.9956
21093	0.9956
46027	0.9955
5047	0.9954
6077	0.9954
26059	0.9954
42105	0.9954
48109	0.9954
20059	0.9953
26071	0.9953
30075	0.9953
40027	0.9953
48211	0.9953
19179	0.9952
27015	0.9952
29041	0.9952
31145	0.9952
30017	0.9951
18007	0.9950
21135	0.9950
27005	0.9950
29065	0.9950
40075	0.9950
54085	0.9950
18045	0.9949
36073	0.9949
48097	0.9949
18183	0.9948
48031	0.9948
54023	0.9948
6065	0.9947
53069	0.9947
6017	0.9945
32003	0.9945
39115	0.9945
20095	0.9944
48327	0.9944
13299	0.9943
29093	0.9943
31175	0.9942
48117	0.9942
39065	0.9941
21021	0.9940
48219	0.9940
5083	0.9939
17131	0.9939
30029	0.9939
31041	0.9939
40129	0.9939
2100	0.9937
20121	0.9937
8069	0.9936
19149	0.9936
21001	0.9936
37053	0.9936
39171	0.9936
51187	0.9936
26129	0.9934
41047	0.9934
45077	0.9934
50011	0.9934
20073	0.9933
36101	0.9932
37189	0.9932
5015	0.9931
48093	0.9931
37111	0.9930
40073	0.9930
29013	0.9929
31021	0.9929
36037	0.9929
36097	0.9929
47015	0.9929
54063	0.9929
34017	0.9928
46137	0.9928
47041	0.9928
48367	0.9928
51069	0.9928
29203	0.9927
31149	0.9927
40081	0.9927
40117	0.9927
17015	0.9926
17089	0.9926
31017	0.9926
47123	0.9926
6101	0.9925
31131	0.9925
18159	0.9924
54057	0.9923
5109	0.9922
13001	0.9922
16011	0.9922
19001	0.9922
48099	0.9922
19191	0.9921
21109	0.9921
27147	0.9921
54005	0.9921
48013	0.9920
5141	0.9919
6071	0.9919
18047	0.9919
21231	0.9919
29145	0.9919
40131	0.9919
46059	0.9919
53029	0.9919
17133	0.9918
18125	0.9918
27139	0.9918
37141	0.9918
51045	0.9918
17173	0.9917
17183	0.9917
18181	0.9917
55111	0.9917
19193	0.9916
42025	0.9916
17063	0.9915
16087	0.9914
17199	0.9914
20157	0.9914
31001	0.9914
42005	0.9914
48407	0.9914
18023	0.9913
18137	0.9913
29157	0.9913
48473	0.9913
20209	0.9912
36065	0.9912
19031	0.9911
26141	0.9911
19147	0.9910
20045	0.9910
6009	0.9908
17035	0.9908
17111	0.9907
18099	0.9907
27069	0.9907
31015	0.9907
48119	0.9907
6095	0.9906
31053	0.9906
42065	0.9906
47125	0.9906
48239	0.9906
55093	0.9906
39175	0.9905
40011	0.9905
48159	0.9905
48451	0.9905
56029	0.9905
54041	0.9904
55078	0.9904
6055	0.9903
13207	0.9903
21171	0.9903
21219	0.9903
37091	0.9903
6063	0.9902
29039	0.9902
31013	0.9902
13313	0.9901
26009	0.9901
1049	0.9900
5007	0.9900
33011	0.9899
21221	0.9898
48045	0.9897
19093	0.9896
39037	0.9896
40039	0.9896
54035	0.9896
20117	0.9895
26137	0.9895
35041	0.9895
6093	0.9894
8014	0.9894
18073	0.9894
20147	0.9894
31125	0.9893
36009	0.9893
6103	0.9892
31181	0.9892
39045	0.9892
48505	0.9892
50023	0.9892
12119	0.9891
13139	0.9891
19023	0.9891
19131	0.9891
48289	0.9890
54003	0.9890
8109	0.9889
13221	0.9889
19059	0.9889
21007	0.9889
39123	0.9888
23025	0.9887
26147	0.9887
40065	0.9887
47159	0.9887
48015	0.9887
18011	0.9886
30103	0.9886
42009	0.9886
16005	0.9885
20133	0.9884
21029	0.9884
19151	0.9883
46031	0.9883
20149	0.9882
36027	0.9882
36117	0.9882
39041	0.9882
47137	0.9882
55045	0.9882
19185	0.9880
20003	0.9879
13251	0.9878
18031	0.9878
27035	0.9878
39169	0.9878
47133	0.9878
55131	0.9878
18029	0.9877
35005	0.9877
35023	0.9877
8115	0.9876
13025	0.9876
13283	0.9876
18109	0.9876
18145	0.9876
38033	0.9876
39055	0.9876
18115	0.9875
27113	0.9875
29055	0.9875
31119	0.9875
34037	0.9875
36035	0.9875
39051	0.9875
47177	0.9874
48217	0.9874
17019	0.9873
20125	0.9873
29109	0.9872
48027	0.9872
29181	0.9871
47141	0.9871
13307	0.9870
20115	0.9870
20151	0.9870
55025	0.9870
18105	0.9869
19135	0.9869
26041	0.9869
27019	0.9869
40071	0.9869
17041	0.9868
49007	0.9867
36107	0.9866
17039	0.9865
53049	0.9865
46055	0.9864
21019	0.9863
29099	0.9863
40017	0.9863
51023	0.9863
48209	0.9862
26159	0.9861
48503	0.9861
29071	0.9860
37109	0.9860
54051	0.9860
17175	0.9859
39073	0.9859
47061	0.9859
47143	0.9859
24035	0.9858
18021	0.9857
21155	0.9857
42015	0.9857
42051	0.9857
51059	0.9857
17037	0.9856
31129	0.9856
39015	0.9856
48019	0.9856
42117	0.9855
48201	0.9855
19051	0.9854
29029	0.9854
40083	0.9854
48499	0.9854
8005	0.9853
9015	0.9853
16027	0.9853
18171	0.9853
37047	0.9853
39009	0.9853
54037	0.9853
5067	0.9852
15009	0.9852
17147	0.9852
39091	0.9852
20169	0.9851
26069	0.9851
48107	0.9851
48413	0.9851
5105	0.9850
13103	0.9850
42089	0.9850
17197	0.9849
19019	0.9849
48365	0.9849
51035	0.9849
5137	0.9848
27049	0.9848
39039	0.9848
48249	0.9848
29107	0.9847
31011	0.9847
51141	0.9847
55009	0.9847
20027	0.9846
20029	0.9846
21003	0.9846
51107	0.9846
20093	0.9845
31169	0.9845
51181	0.9845
29159	0.9844
37051	0.9844
41013	0.9844
18033	0.9843
42109	0.9843
49053	0.9843
6023	0.9842
5097	0.9841
13197	0.9841
21197	0.9841
35011	0.9841
48279	0.9841
48419	0.9841
53063	0.9841
5115	0.9840
31065	0.9839
39125	0.9839
48059	0.9839
4007	0.9838
6045	0.9838
19159	0.9838
26155	0.9838
27027	0.9838
27159	0.9838
29197	0.9838
30081	0.9838
17141	0.9837
23013	0.9837
36111	0.9837
51091	0.9837
31105	0.9836
48361	0.9836
55101	0.9836
45015	0.9835
12005	0.9834
13117	0.9834
42019	0.9834
22065	0.9832
51185	0.9832
39031	0.9831
40053	0.9831
47121	0.9831
54097	0.9831
19165	0.9830
6099	0.9829
26063	0.9829
37165	0.9829
39067	0.9829
23019	0.9828
19079	0.9827
31045	0.9827
36043	0.9827
39135	0.9827
26161	0.9826
35047	0.9826
